Respondent_ID,Role,Years_at_LIA,Department,Overall_Satisfaction,Leadership_Support,Professional_Development,Collaboration,Work_Life_Balance,Compensation_Fairness,School_Culture,Communication,Resource_Availability,Would_Recommend,Open_Ended_Feedback
S026,Office Staff,5,Front Office,4,5,4,4,4,3,5,4,4,Yes,Dr. Rivera runs a tight ship but always with warmth. Best admin team I've worked with in education.
S027,Office Staff,2,Registrar,4,4,3,4,4,3,4,4,4,Yes,The enrollment management system upgrade has made my job much easier. Good communication from leadership.
S028,Custodial,3,Facilities,4,4,3,3,4,3,4,4,3,Yes,Respectful work environment. Building is well-maintained. Summer deep clean schedule works well.
S029,Food Service,2,Cafeteria,3,4,2,3,4,2,4,3,3,Maybe,Would like more involvement in school wellness decisions. Kitchen equipment needs updating.
S030,Classroom Teacher,4,Kindergarten,5,5,4,5,3,3,5,5,4,Yes,The early childhood program at Lincoln is truly special. Parent engagement in K is outstanding thanks to the family liaison.
S031,Classroom Teacher,3,5th Grade,4,4,4,4,3,3,4,4,3,Yes,Solid school with a clear mission. The project-based learning emphasis sets us apart. Need more field trip budget.
S032,Classroom Teacher,2,8th Grade Science,4,4,5,4,3,3,4,4,4,Yes,STEM focus is strong in upper grades. Students are well-prepared for high school science. Lab supplies could be better funded.
S033,Technology Specialist,3,IT/EdTech,4,4,4,3,3,3,4,4,3,Yes,Good school that values technology integration. Device refresh cycle needs to be formalized. One person covering IT and EdTech is a stretch.
S034,Family Liaison,4,Community Engagement,5,5,4,4,4,4,5,5,4,Yes,This role is so meaningful. Families trust us because we show up consistently. The multilingual communication improvements have made a big difference.
S035,Classroom Teacher,1,4th Grade,4,5,4,4,3,3,4,4,4,Yes,Wonderful first year. The onboarding process was thorough and I felt ready on day one. Looking forward to year two.
