Date,Event,Category,Time,Location,Audience,SQF_Dimension,Notes
2025-02-10,Trauma-Informed Practices PD,Professional Development,3:45 PM - 5:45 PM,Cafeteria,All Staff,Student Culture,Dr. Lisa Chen facilitator
2025-02-12,Board Meeting,Governance,6:00 PM - 8:00 PM,Conference Room,Board/Public,Governance,Fundraising mid-year report
2025-02-13,Wellness Committee Meeting,Operations,3:45 PM - 4:45 PM,Media Center,Committee,Operations,
2025-02-17,Presidents Day - No School,Operations,N/A,N/A,All,Operations,
2025-02-24,Writing Across the Curriculum PD,Professional Development,3:45 PM - 5:45 PM,Cafeteria,Grades 5-8 Teachers,Academic Program,
2025-03-06,Parent-Teacher Conferences,External Engagement,4:00 PM - 8:00 PM,Classrooms,All Families,External Engagement,Spring conferences
2025-03-07,Parent-Teacher Conferences / No School for Students,External Engagement,8:00 AM - 3:00 PM,Classrooms,All Families,External Engagement,
2025-03-10,CRT Professional Development Session 4,Professional Development,3:45 PM - 6:15 PM,Cafeteria,All Staff,Student Culture,Final session - teacher presentations
2025-03-14,End of Quarter 3,Academic Program,N/A,N/A,All,Academic Program,Report cards distributed Mar 21
2025-03-19,Board Meeting / Board Retreat,Governance,4:00 PM - 8:00 PM,Off-site,Board,Governance,Strategic plan mid-cycle review
2025-03-24,Spring Break Begins,Operations,N/A,N/A,All,Operations,No school Mar 24-28
2025-04-07,MCA Testing Window Opens,Academic Program,All Day,Classrooms,Grades 3-8,Academic Program,State assessments through April 25
2025-04-12,PTA Spring Carnival,External Engagement,11:00 AM - 3:00 PM,School Grounds,All Families,External Engagement,Annual community event
2025-04-16,Board Meeting,Governance,6:00 PM - 8:00 PM,Conference Room,Board/Public,Governance,Enrollment and budget planning
2025-05-05,Teacher Appreciation Week,Talent,All Week,School Building,All Staff,Talent,PTA-organized appreciation activities
2025-05-12,End-of-Year Data Review PD,Professional Development,3:45 PM - 6:45 PM,Cafeteria,All Staff,Academic Program,MAP Spring data and year reflection
2025-05-15,PBL Showcase,Academic Program,5:30 PM - 7:30 PM,School Building,All Families/Community,Academic Program,Student project presentations. Major community event.
2025-05-19,MAP Spring Testing Window Opens,Academic Program,All Day,Classrooms,Grades 2-8,Academic Program,Testing window: May 19-30
2025-05-21,Board Meeting,Governance,6:00 PM - 8:00 PM,Conference Room,Board/Public,Governance,Budget approval for 2025-26
2025-05-26,Memorial Day - No School,Operations,N/A,N/A,All,Operations,
2025-05-30,End of Quarter 4 / Last Day of School (Early Release),Operations,12:00 PM,School Building,All,Operations,Report cards mailed June 6
2025-06-02,8th Grade Graduation,Student Culture,6:00 PM - 7:30 PM,Gymnasium,8th Grade Families,Student Culture,
2025-06-03,Staff Work Day / Year-End Celebration,Talent,8:00 AM - 1:00 PM,School Building,All Staff,Talent,Closeout and celebration
2025-06-16,YMCA Summer Camp Begins,Operations,8:00 AM - 4:00 PM,School Building,Registered Students,Student Culture,4-week program through July 11
